# video = deadlift_160x6_1_20260804.mov
# tracker = markers
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 924
# lift = deadlift
# camera_side = left
# fps = 30
# m_per_px = 0.00199838270641
# travel_m = 0.544179915328
# plate_radius_px = 116
# seed_frame = 450
# perspective_shift_cm = 8.36728105969
# n_rim = 7
# sticker_radius_m = 0.182325
t,x,height,score,n_markers,residual_px,m_per_px_t,circumradius_px,axis_ratio,angle
0,0.00928745268493,0.0318585331768,0.717709393862,7,0.663381071578,0.00199218675638,91.5200341616,0.98304470415,0.066623325832
0.0333333333333,0.00920895581285,0.0334488377309,0.768910332433,7,0.525561838187,0.00198504272829,91.8494082782,0.976853891706,0.0662114665482
0.0666666666667,0.00920895581285,0.0334488377309,0.768910332433,7,0.525561838187,0.00198504272829,91.8494082782,0.976853891706,0.0662114665482
0.1,0.00920895581285,0.0334488377309,0.768910332433,7,0.525561838187,0.00198504272829,91.8494082782,0.976853891706,0.0662114665482
0.133333333333,0.0092713396385,0.0325739335853,0.761342159594,7,0.545344807559,0.00198840144767,91.6942603386,0.980257839016,0.065631878608
0.166666666667,0.0092202856843,0.0328518135781,0.763009002864,7,0.54097089694,0.00198752335499,91.7347710871,0.979034597664,0.0655863441271
0.2,0.00930483369341,0.0332216661238,0.75898627022,7,0.551543182102,0.00198548932614,91.8287485104,0.978105157165,0.0654064884338
0.233333333333,0.00930128540502,0.0337242188952,0.781777211076,7,0.4923709507,0.0019838450215,91.9048605231,0.976226128571,0.065107704023
0.266666666667,0.00920354544385,0.0339725760318,0.766577871165,7,0.531637985321,0.0019819920738,91.9907816029,0.975913341259,0.0645224408297
0.3,0.00960562820487,0.0336012280431,0.805993702925,7,0.431358698507,0.00198449644271,91.8746922774,0.976945441247,0.0666706212934
0.333333333333,0.00960562078516,0.0336083380776,0.806676183263,7,0.429665902272,0.00198447353275,91.8757529347,0.976919023415,0.0666500066298
0.366666666667,0.00960657527368,0.0330267782282,0.779915160296,7,0.49714026813,0.00198627006886,91.7926534053,0.979045356959,0.0662690764817
0.4,0.00891425867166,0.0339659815825,0.765709011026,7,0.533906125162,0.0019839398571,91.9004673188,0.97479219411,0.0658076826084
0.433333333333,0.00907587293694,0.0333754024937,0.782510258113,7,0.490496494489,0.00198616729888,91.7974030197,0.97840156731,0.0677773190367
0.466666666667,0.00925018666607,0.0341679990585,0.774644542971,7,0.510702018146,0.00198178326311,92.0004742161,0.97645235104,0.0670509955683
0.5,0.00924956244985,0.0337772741364,0.767821620542,7,0.528395675462,0.00198296672767,91.9455669405,0.977865561889,0.0661330346749
0.533333333333,0.00957318955874,0.0329549361236,0.754855662627,7,0.562457446675,0.00198727961885,91.7460221856,0.980110019391,0.0656231395942
0.566666666667,0.00921364557724,0.0339767669044,0.774344650568,7,0.511476439063,0.00198233278909,91.9749706019,0.977158287795,0.0656733454738
0.6,0.00921282404506,0.0339775467628,0.774669814229,7,0.510636773137,0.0019823475922,91.9742837822,0.977178616628,0.0656893337079
0.633333333333,0.0092119295657,0.0341813953092,0.780501528699,7,0.495637160828,0.00198173098229,92.0029013166,0.976443719247,0.0660979757441
0.666666666667,0.00921374421982,0.0339736030871,0.775046257204,7,0.50966512939,0.00198235279834,91.9740422356,0.977180148708,0.0656660932558
0.7,0.00920716958592,0.0339840418873,0.774503367027,7,0.511066543557,0.00198229993366,91.9764950319,0.977152569555,0.0656657330245
0.733333333333,0.00920873252106,0.0341797532332,0.779688704461,7,0.497721071608,0.00198171212174,92.0037769361,0.976449246001,0.0660618965216
0.766666666667,0.0093356414757,0.0336700296619,0.748339144942,7,0.579798002869,0.00198314999837,91.9370698886,0.976747597026,0.0661077817824
0.8,0.00933700178775,0.033675446579,0.748811738547,7,0.578535354926,0.00198314697384,91.9372101033,0.976762860411,0.0661153947439
0.833333333333,0.00919913433857,0.0340086092642,0.772393568343,7,0.51652211062,0.00198228057925,91.9773930638,0.977110423478,0.0656592021769
0.866666666667,0.00907292544275,0.0349353481653,0.758903103104,7,0.551762347262,0.00197914987689,92.1228867653,0.97463321262,0.0657079961127
0.9,0.00907778038284,0.0349116935789,0.759448855826,7,0.550324596964,0.00197924576584,92.1184236678,0.974724860772,0.0657424168257
0.933333333333,0.00910691928298,0.0345533681288,0.763607403074,7,0.539402984427,0.00198103886259,92.0350445635,0.975741915776,0.0663346044325
0.966666666667,0.00922209647051,0.0341760801401,0.757476384754,7,0.555525834653,0.00198042015138,92.0637976103,0.974478414294,0.0664346648962
1,0.00945176832059,0.0333348691864,0.781181556615,7,0.493895378605,0.00198507686752,91.8478286575,0.977440129247,0.0656353179248
1.03333333333,0.00942480304653,0.0332659465815,0.766914170564,7,0.530760773322,0.00198515698967,91.8441216231,0.977462405834,0.0650468898038
1.06666666667,0.00942499397438,0.0333541738248,0.78435525653,7,0.485786455872,0.00198490696042,91.8556907884,0.977178765786,0.0654158883056
1.1,0.00957823798933,0.0334534780376,0.745871485634,7,0.586403929773,0.0019851104288,91.8462758316,0.978141304315,0.0656546109545
1.13333333333,0.00924087059952,0.0345048230819,0.769796861096,7,0.523257231398,0.00198052935797,92.0587212031,0.976511111947,0.0660899696096
1.16666666667,0.00930631061259,0.0337306867368,0.768755642744,7,0.525964239466,0.00198418585285,91.889073666,0.977858239268,0.0664259860318
1.2,0.00903455062577,0.0346857079061,0.768584649547,7,0.526409146033,0.00197927524153,92.117051825,0.975164809673,0.0666502530796
1.23333333333,0.00897361726001,0.0345611456641,0.773429754974,7,0.513840855214,0.00197986900737,92.0894257759,0.975512152627,0.0669044391203
1.26666666667,0.00914891365363,0.0345152226248,0.751618477594,7,0.571052854798,0.00198036429002,92.066394511,0.976810346127,0.0664885249048
1.3,0.00937340748848,0.0340742704172,0.75178606327,7,0.570606971679,0.00198268200658,91.9587706931,0.978025053797,0.0660884173802
