# video = bench_95x2_20260803.mov
# tracker = markers
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1235
# lift = bench
# camera_side = right
# fps = 29.97002997
# m_per_px = 0.00204999418277
# travel_m = 0.290197441707
# plate_radius_px = 114
# seed_frame = 615
# perspective_shift_cm = 0.609695145608
# n_rim = 3
# sticker_radius_m = 0.19305
t,x,height,score,n_markers,residual_px,m_per_px_t,circumradius_px,axis_ratio,angle
0,0.000229432549656,0.254443921906,0.998571142975,3,0.00285975762884,0.00204774611898,94.2743820684,nan,0.0508767481104
0.0333666666667,0.000208997101946,0.254416466285,0.982133111771,3,0.0360568562247,0.00204782812013,94.2706070408,nan,0.0506357989067
0.0667333333333,0.000208997101946,0.254416466285,0.982133111771,3,0.0360568562247,0.00204782812013,94.2706070408,nan,0.0506357989067
0.1001,0.000208997101946,0.254416466285,0.982133111771,3,0.0360568562247,0.00204782812013,94.2706070408,nan,0.0506357989067
0.133466666667,0.000234883572695,0.254411625657,0.983915091803,3,0.0324313489413,0.00204780871244,94.2715004713,nan,0.0505673471569
0.166833333333,0.000233720599237,0.254412729998,0.982979943128,3,0.0343331255566,0.00204790947351,94.2668621327,nan,0.050584924343
0.2002,0.000237513672563,0.254409793457,0.983563899815,3,0.0331453428256,0.00204788941868,94.2677852812,nan,0.0505918339124
0.233566666667,0.000239184674299,0.254410019032,0.983947139794,3,0.0323662061891,0.00204784865371,94.2696617987,nan,0.05059096796
0.266933333333,0.000237771681662,0.254409363744,0.983457061988,3,0.0333626009623,0.00204779199348,94.2722701403,nan,0.0505607810217
0.3003,0.000163095832274,0.254563922069,0.905708277999,3,0.198076027505,0.00204796593393,94.2642632877,nan,0.0506568742937
0.333666666667,0.000163095832274,0.254563922069,0.905708277999,3,0.198076027505,0.00204796593393,94.2642632877,nan,0.0506568742937
0.367033333333,0.000163095832274,0.254563922069,0.905708277999,3,0.198076027505,0.00204796593393,94.2642632877,nan,0.0506568742937
0.4004,0.000211993842008,0.254411921274,0.978371379357,3,0.043731895069,0.00204834208491,94.2469529002,nan,0.0503983978671
0.433766666667,-2.22572046203e-05,0.254553035366,0.953964875598,3,0.0942568524854,0.00204967316144,94.1857480655,nan,0.0503775640412
0.467133333333,-5.80651927363e-05,0.254881205518,0.942150450592,3,0.119180606308,0.00205197870818,94.0799235542,nan,0.049994344754
0.5005,-5.80651927363e-05,0.254881205518,0.942150450592,3,0.119180606308,0.00205197870818,94.0799235542,nan,0.049994344754
0.533866666667,-3.48690031712e-05,0.254826332256,0.95114563446,3,0.100176179856,0.00205205061975,94.0766266399,nan,0.0498587301034
0.567233333333,-5.47067987257e-05,0.254847748866,0.949195703815,3,0.104280561084,0.00205221110594,94.0692696973,nan,0.0499223927678
0.6006,-0.000176639020249,0.254819334634,0.981781168943,3,0.0367736753561,0.00205369243215,94.0014176309,nan,0.0496405813508
0.633966666667,-0.000122319111973,0.254848970009,0.987930040256,3,0.0242867863979,0.00205403898223,93.9855580494,nan,0.0499934201676
0.667333333333,-0.000123043332813,0.254854752998,0.987997392293,3,0.0241504412348,0.00205405943259,93.9846223225,nan,0.0500083905136
0.7007,-0.000121035601223,0.254848772808,0.988131651025,3,0.023878680171,0.0020539371838,93.9902162164,nan,0.0500737922605
0.734066666667,-0.000120830786148,0.2548498088,0.987876509582,3,0.0243951586962,0.00205394802358,93.9897201799,nan,0.050078733781
0.767433333333,-0.000123143332278,0.254845444214,0.986957085639,3,0.0262574401803,0.00205394607719,93.9898092475,nan,0.0500836782301
