# video = bench_spoto_95x6_2_20260813.mov
# tracker = vtrack
# commit = 5667852
# generated = 2026-08-17T15:34Z
# n_frames = 1038
# lift = bench
# camera_side = right
# fps = 30
# m_per_px = 0.00205085364306
# travel_m = 0.639242174993
# plate_radius_px = 98.7393716197
# sticker_radius_m = 0.2025
t,x,height,score,n_markers,residual_px,m_per_px_t,circumradius_px
0,0.0415217378722,0.389857606435,3,3,1.7647673625e-10,0.00205085364306,98.7393716197
0.0333333333333,0.0463735849865,0.40026768102,5,5,4.32427051403,0.00205085364306,98.7393716197
0.0666666666667,0.0406112870521,0.411577989669,3,3,3.60601701645e-10,0.00205085364306,98.7393716197
0.1,0.0427346261128,0.414023994495,3,3,3.23722262821e-10,0.00205085364306,98.7393716197
0.133333333333,0.0403660084,0.410942412851,3,3,3.69316652726e-10,0.00205085364306,98.7393716197
0.166666666667,0.0404028742983,0.411007481282,3,3,3.71040415296e-10,0.00205085364306,98.7393716197
0.2,0.0446485834172,0.41669646344,4,4,0.171258725657,0.00205085364306,98.7393716197
0.233333333333,0.0431125998856,0.410703276596,4,4,1.18136607517,0.00205085364306,98.7393716197
0.266666666667,0.0429987886787,0.413948372521,3,3,3.22631369683e-10,0.00205085364306,98.7393716197
0.3,0.0457661845529,0.413670644356,4,4,1.31327936056,0.00205085364306,98.7393716197
0.333333333333,0.0457646693137,0.413673541708,4,4,1.31218932168,0.00205085364306,98.7393716197
0.366666666667,0.0464565671194,0.41636447754,4,4,0.703434584475,0.00205085364306,98.7393716197
0.4,0.0470891443802,0.418151473491,5,5,1.94007241406,0.00205085364306,98.7393716197
0.433333333333,0.0463502359267,0.415681389347,4,4,0.84640726497,0.00205085364306,98.7393716197
0.466666666667,0.0427886787794,0.414519870135,6,6,3.26265864144,0.00205085364306,98.7393716197
0.5,0.0434167247024,0.414102808549,6,6,2.89462544414,0.00205085364306,98.7393716197
0.533333333333,0.0437393458531,0.414993035,6,6,2.32899400635,0.00205085364306,98.7393716197
0.566666666667,0.0452442830382,0.415013746945,6,6,1.87661529913,0.00205085364306,98.7393716197
0.6,0.044775740551,0.415823796324,6,6,1.38986014453,0.00205085364306,98.7393716197
0.633333333333,0.0445389812333,0.415826717852,5,5,1.03763535683,0.00205085364306,98.7393716197
0.666666666667,0.0456651053971,0.416104194177,5,5,0.519057412194,0.00205085364306,98.7393716197
0.7,0.0459972708325,0.416906275002,5,5,0.217145341415,0.00205085364306,98.7393716197
0.733333333333,0.0470623264392,0.416869344023,5,5,0.827396187194,0.00205085364306,98.7393716197
0.766666666667,0.048030922246,0.416291827187,6,6,1.50982227631,0.00205085364306,98.7393716197
0.8,0.0511577230234,0.415961273993,6,6,2.17520657452,0.00205085364306,98.7393716197
0.833333333333,0.0516059463161,0.416487831745,6,6,2.54843945992,0.00205085364306,98.7393716197
0.866666666667,0.0456000345611,0.41727437055,3,3,2.8326179115e-10,0.00205085364306,98.7393716197
0.9,0.0441819291008,0.416626284936,4,4,0.844461547577,0.00205085364306,98.7393716197
0.933333333333,0.0441837322275,0.416614742902,4,4,0.842976963636,0.00205085364306,98.7393716197
0.966666666667,0.0445529418134,0.418664302935,5,5,1.52223875949,0.00205085364306,98.7393716197
1,0.0443964212043,0.418263159417,5,5,1.55440045056,0.00205085364306,98.7393716197
1.03333333333,0.0440507887815,0.418125536688,5,5,1.56196745767,0.00205085364306,98.7393716197
