# video = squat_135x5.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1728
# lift = squat
# camera_side = right
# fps = 30
# m_per_px = 0.002556818182
# travel_m = 0.5095025252
# plate_radius_px = 88
# seed_frame = 972
t,x,height,score
4.96667,0.215836,0.0156433,0.364049
5,0.215833,0.0155944,0.364744
5.03333,0.215806,0.0155747,0.365228
5.06667,0.215839,0.0155506,0.36559
5.1,0.215794,0.0155599,0.365407
5.13333,0.215784,0.0155121,0.366183
5.16667,0.215784,0.0154915,0.367059
5.2,0.215824,0.0154506,0.367365
5.23333,0.215818,0.0154498,0.367643
5.26667,0.215849,0.0154436,0.367587
5.3,0.215837,0.0154265,0.367849
5.33333,0.215824,0.0154155,0.367801
5.36667,0.215808,0.015429,0.367835
5.4,0.215783,0.0153751,0.368006
5.43333,0.215812,0.0153312,0.368407
5.46667,0.215829,0.0153304,0.368983
5.5,0.215855,0.0153487,0.369996
5.53333,0.215891,0.0153148,0.370764
5.56667,0.215865,0.0153052,0.370664
5.6,0.215873,0.0152868,0.37038
5.63333,0.215854,0.0153109,0.37025
5.66667,0.215871,0.0153223,0.37023
5.7,0.215896,0.0153437,0.36964
5.73333,0.215852,0.0153618,0.368993
5.76667,0.21584,0.015373,0.368259
5.8,0.215867,0.0153836,0.367185
5.83333,0.215887,0.0153853,0.365112
5.86667,0.21587,0.0153823,0.364978
5.9,0.215867,0.015387,0.364474
5.93333,0.215876,0.0154126,0.363977
5.96667,0.215857,0.0153613,0.362739
6,0.21583,0.0153734,0.362079
6.03333,0.215835,0.0153654,0.36158
6.06667,0.215834,0.0153774,0.360879
6.1,0.215837,0.0153729,0.359768
6.13333,0.215831,0.015371,0.359468
6.16667,0.215811,0.0153419,0.359193
6.2,0.215772,0.0153684,0.35873
6.23333,0.215761,0.0153358,0.3584
6.26667,0.215771,0.0153473,0.358151
6.3,0.21574,0.0153581,0.357553
6.33333,0.215771,0.0153398,0.357145
6.36667,0.215744,0.0153554,0.357144
6.4,0.215767,0.0153665,0.356811
6.43333,0.21575,0.015385,0.356857
6.46667,0.21573,0.0154092,0.357069
6.5,0.215712,0.0154078,0.358304
6.53333,0.215643,0.0153943,0.359133
6.56667,0.215575,0.015405,0.360714
6.6,0.215577,0.0154384,0.362927
6.63333,0.215459,0.0153947,0.366473
6.66667,0.215397,0.0153234,0.368314
6.7,0.215316,0.0153111,0.370821
6.73333,0.215235,0.015299,0.372188
6.76667,0.215013,0.0153261,0.375059
6.8,0.214583,0.0154112,0.377813
6.83333,0.214405,0.0154053,0.380072
6.86667,0.213957,0.0154142,0.381881
6.9,0.213602,0.015412,0.38425
6.93333,0.21298,0.0154634,0.386396
6.96667,0.212551,0.0155235,0.387887
7,0.212252,0.0157079,0.3893
7.03333,0.212052,0.0157363,0.39067
7.06667,0.211882,0.0157633,0.392804
7.1,0.211868,0.0157807,0.3944
7.13333,0.211741,0.0157875,0.395675
7.16667,0.211703,0.0158554,0.397154
7.2,0.211702,0.0158481,0.398245
7.23333,0.211801,0.0158298,0.398697
7.26667,0.211729,0.0157844,0.39931
7.3,0.211722,0.0157531,0.399452
7.33333,0.211723,0.0157175,0.399841
7.36667,0.211797,0.0157219,0.400346
7.4,0.21174,0.0157694,0.401111
7.43333,0.211676,0.0157957,0.402067
7.46667,0.211463,0.0157202,0.403487
7.5,0.211395,0.0157011,0.403922
7.53333,0.211338,0.0156904,0.403679
7.56667,0.211288,0.0157098,0.402602
7.6,0.211161,0.0156782,0.402044
7.63333,0.211069,0.0156621,0.401324
7.66667,0.210923,0.0155949,0.401555
7.7,0.210824,0.015586,0.401842
7.73333,0.210689,0.0155406,0.4019
7.76667,0.210494,0.0155254,0.402944
7.8,0.210328,0.0155058,0.403186
7.83333,0.210171,0.0155254,0.403562
7.86667,0.210018,0.0154854,0.404286
7.9,0.209693,0.0155207,0.405364
7.93333,0.209426,0.0155136,0.405857
7.96667,0.209284,0.0155037,0.406541
8,0.20917,0.0155313,0.406613
8.03333,0.209002,0.0155263,0.407036
8.06667,0.208833,0.0155188,0.407472
8.1,0.208757,0.0155117,0.408048
8.13333,0.20873,0.0155408,0.408301
8.16667,0.208625,0.0154947,0.408725
8.2,0.208595,0.0154407,0.408855
8.23333,0.208567,0.0154432,0.409302
8.26667,0.208553,0.0154589,0.409788
8.3,0.208544,0.0154464,0.410108
8.33333,0.208537,0.0154208,0.410223
8.36667,0.208503,0.0154186,0.409867
8.4,0.20852,0.0153802,0.40965
8.43333,0.208489,0.0153877,0.40957
8.46667,0.208469,0.0153899,0.40966
8.5,0.208547,0.015406,0.409722
8.53333,0.208591,0.0154592,0.409847
8.56667,0.208666,0.0154953,0.409764
8.6,0.208733,0.015533,0.409862
8.63333,0.208839,0.0155769,0.409938
8.66667,0.20891,0.0156183,0.409924
8.7,0.208983,0.0156816,0.409448
8.73333,0.209093,0.0156647,0.40968
8.76667,0.2093,0.0156306,0.409773
8.8,0.209482,0.0156221,0.409613
8.83333,0.209712,0.0156331,0.40952
8.86667,0.209838,0.01558,0.409444
8.9,0.209955,0.0155644,0.409184
8.93333,0.210058,0.0155356,0.408903
8.96667,0.210136,0.0155403,0.408748
9,0.210243,0.0155035,0.408799
9.03333,0.210304,0.0154773,0.409084
9.06667,0.210336,0.015475,0.409059
9.1,0.210353,0.0154629,0.409089
9.13333,0.21056,0.0154601,0.409187
9.16667,0.210582,0.0154964,0.4093
9.2,0.210679,0.0154888,0.409545
9.23333,0.210753,0.0155019,0.410045
9.26667,0.210828,0.0154729,0.410181
9.3,0.210855,0.0154755,0.410503
9.33333,0.210903,0.0154622,0.410356
9.36667,0.210922,0.0154793,0.410469
9.4,0.210948,0.0155073,0.41013
9.43333,0.210995,0.0155081,0.409891
9.46667,0.211014,0.0155082,0.409714
9.5,0.211022,0.0155245,0.40973
9.53333,0.21106,0.0155313,0.409249
9.56667,0.21113,0.0155555,0.408722
9.6,0.211154,0.0155457,0.408507
9.63333,0.211142,0.0155619,0.407803
