# video = squat_140x5.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1674
# lift = squat
# camera_side = right
# fps = 29.97002997
# m_per_px = 0.002445652174
# travel_m = 0.7348724321
# plate_radius_px = 92
# seed_frame = 1143
t,x,height,score
0,1.10422e-08,7.622e-05,0.434087
0.0333667,4.33126e-07,8.32965e-05,0.43399
0.0667333,4.50983e-07,8.73901e-05,0.434011
0.1001,5.67746e-07,8.93824e-05,0.433742
0.133467,1.79701e-07,6.8806e-05,0.433861
0.166833,5.97848e-07,8.07245e-05,0.433664
0.2002,4.86989e-07,6.79226e-05,0.433799
0.233567,2.92018e-07,7.89179e-05,0.433697
0.266933,2.73214e-07,7.84757e-05,0.433956
0.3003,2.06596e-07,6.65834e-05,0.434101
0.333667,2.31523e-07,5.78085e-05,0.433884
0.367033,1.73214e-07,6.4294e-05,0.43394
0.4004,5.22047e-07,7.34458e-05,0.434044
0.433767,7.43766e-07,7.88806e-05,0.434289
0.467133,6.17673e-07,6.22084e-05,0.434152
0.5005,8.219e-07,6.53693e-05,0.434193
0.533867,8.75617e-07,5.72802e-05,0.434143
0.567233,5.03096e-07,5.66949e-05,0.433694
0.6006,1.51129e-07,6.27082e-05,0.433888
0.633967,6.28643e-08,6.39216e-05,0.433678
0.667333,3.34146e-07,5.79397e-05,0.433824
0.7007,6.0674e-07,5.10776e-05,0.433639
0.734067,7.14102e-07,4.64406e-05,0.433488
0.767433,9.52585e-07,6.11782e-05,0.433226
0.8008,1.02336e-06,4.81882e-05,0.433352
0.834167,7.97483e-07,6.98794e-05,0.433386
0.867533,5.92528e-07,6.32646e-05,0.433424
0.9009,4.67091e-07,5.81428e-05,0.433105
0.934267,6.4763e-07,6.36369e-05,0.43348
0.967633,5.50983e-07,5.38849e-05,0.433509
1.001,4.19715e-07,4.06943e-05,0.433179
1.03437,5.73504e-07,2.57616e-05,0.433393
1.06773,5.99598e-07,4.82422e-05,0.433364
1.1011,5.94641e-07,6.60398e-05,0.433361
1.13447,5.71172e-07,4.29581e-05,0.433079
1.16783,1.07212e-06,5.67956e-05,0.43338
1.2012,9.38737e-07,5.55553e-05,0.433502
1.23457,6.19641e-07,5.9594e-05,0.433542
1.26793,4.41362e-07,3.69859e-05,0.433301
1.3013,5.547e-07,5.67438e-05,0.433596
1.33467,5.26784e-07,4.71346e-05,0.433375
1.36803,5.74452e-07,5.60521e-05,0.433419
1.4014,6.83562e-07,4.32328e-05,0.43313
1.43477,1.03465e-06,5.18271e-05,0.433094
1.46813,9.0827e-07,2.68081e-05,0.433048
1.5015,9.59218e-07,4.13758e-05,0.433281
1.53487,8.33708e-07,5.70406e-05,0.43323
1.56823,5.69496e-07,6.15314e-05,0.433332
1.6016,5.24379e-07,5.13327e-05,0.433332
1.63497,5.24889e-07,6.03411e-05,0.433521
1.66833,8.72775e-07,5.98197e-05,0.43315
1.7017,1.17321e-06,3.88895e-05,0.43329
1.73507,1.08917e-06,5.30244e-05,0.433156
1.76843,9.61623e-07,3.33496e-05,0.433375
1.8018,6.6432e-07,6.14955e-06,0.433191
1.83517,5.37207e-07,1.66951e-05,0.43323
1.86853,7.50253e-07,3.46816e-05,0.433238
1.9019,5.85458e-07,2.34549e-05,0.433362
1.93527,6.05319e-08,2.3601e-05,0.433859
1.96863,1.99744e-07,5.6317e-05,0.433389
2.002,6.18439e-08,5.63655e-05,0.433134
2.03537,1.86115e-07,6.48371e-05,0.433136
2.06873,3.45808e-07,5.47392e-05,0.433357
2.1021,3.75108e-07,4.43733e-05,0.433195
2.13547,-2.02259e-08,3.00904e-05,0.433302
2.16883,4.31085e-07,4.41146e-05,0.433219
2.2022,8.59655e-07,4.07027e-05,0.433182
2.23557,3.08272e-07,3.76425e-05,0.432772
2.26893,2.24744e-07,2.81725e-05,0.432797
2.3023,4.61406e-07,3.10447e-05,0.43278
2.33567,1.18549e-07,2.35795e-05,0.433217
2.36903,2.85021e-07,3.48168e-05,0.432748
2.4024,5.99087e-07,4.86422e-05,0.432817
2.43577,6.02513e-07,3.73857e-05,0.432851
2.46913,8.75253e-07,3.74544e-05,0.433013
2.5025,9.13664e-07,6.34566e-05,0.432701
2.53587,8.18985e-07,4.64605e-05,0.432742
2.56923,5.93111e-07,5.26656e-05,0.432737
2.6026,8.97192e-07,2.53558e-05,0.432983
2.63597,6.34437e-07,2.35046e-05,0.432848
2.66933,6.72848e-07,3.28715e-05,0.433019
2.7027,5.31303e-07,4.17387e-05,0.433308
2.73607,3.52441e-07,4.52806e-05,0.43284
2.76943,7.64247e-07,4.86518e-05,0.433
2.8028,5.79044e-07,5.27599e-05,0.432947
2.83617,6.06449e-07,6.10181e-05,0.43277
2.86953,5.18694e-07,4.92655e-05,0.433045
2.9029,-1.10422e-08,6.11401e-05,0.432615
2.93627,1.70189e-08,6.90184e-05,0.432682
2.96963,-2.27769e-08,5.30792e-05,0.432735
3.003,1.30575e-07,4.70514e-05,0.43297
3.03637,1.42164e-07,6.75356e-05,0.432879
3.06973,3.74525e-07,5.80009e-05,0.432957
3.1031,1.09293e-07,4.34752e-05,0.433083
3.13647,1.31304e-07,4.45322e-05,0.433172
3.16983,4.18257e-07,5.13981e-05,0.432967
3.2032,4.50035e-07,3.61694e-05,0.433095
3.23657,6.89867e-08,3.77116e-05,0.433057
3.26993,3.83709e-07,4.95002e-05,0.43296
